,Date,Average speed (km/h),Distance travelled (km),Average engine RPM (rpm),Vehicle speed (km/h),Driver Type
0,2020-10-01,26,20,2585,73,2
8,2020-10-02,24,11,2897,42,1
10,2020-10-03,65,13,3136,65,2
11,2020-10-04,45,25,3002,78,2
13,2020-10-05,23,13,3306,80,2
17,2020-10-06,25,33,3065,53,1
24,2020-10-07,27,28,3083,67,2
26,2020-10-08,30,5,2585,81,3
27,2020-10-09,28,12,3204,58,1
31,2020-10-10,31,23,2546,47,1
32,2020-10-11,33,13,2957,57,1
33,2020-10-12,21,4,3788,68,2
35,2020-10-13,27,10,2357,56,1
38,2020-10-14,23,11,2571,75,2
40,2020-10-15,30,6,2516,65,2
46,2020-10-16,29,23,2971,73,2
49,2020-10-17,31,12,2827,77,2
51,2020-10-18,29,22,2911,70,2
59,2020-10-19,29,13,2513,52,1
60,2020-10-20,30,3,2546,77,2
67,2020-10-21,25,14,3570,65,2
69,2020-10-22,39,22,3438,53,1
77,2020-10-23,24,9,2409,81,3
78,2020-10-24,29,26,3103,65,2
82,2020-10-25,31,22,3011,60,1
86,2020-10-26,27,18,2793,50,1
88,2020-10-27,28,6,2910,57,1
90,2020-10-28,24,11,2557,88,3
93,2020-10-29,27,14,3661,65,2
97,2020-10-30,18,15,3093,53,1
100,2020-10-31,21,28,3056,60,1
106,2020-11-01,28,18,3229,65,2
110,2020-11-02,33,26,3109,44,1
113,2020-11-03,24,11,2492,51,1
114,2020-11-04,18,27,2421,56,1
116,2020-11-05,28,13,3661,54,1
118,2020-11-06,29,10,2596,51,1
119,2020-11-07,28,13,2523,88,3
120,2020-11-08,22,25,2760,56,1
123,2020-11-09,18,26,2663,60,1
125,2020-11-10,22,13,2753,78,2
128,2020-11-11,25,25,2866,57,1
129,2020-11-12,25,22,3306,48,1
134,2020-11-13,28,22,3473,85,3
147,2020-11-14,33,8,3473,65,2
149,2020-11-15,28,23,2516,42,1
151,2020-11-16,21,5,2798,50,1
159,2020-11-17,27,12,2421,58,1
163,2020-11-18,28,22,2394,52,1
164,2020-11-19,29,33,3000,71,2
165,2020-11-20,24,23,2701,54,1
182,2020-11-21,28,14,3173,80,2
183,2020-11-22,27,30,2823,77,2
188,2020-11-23,31,3,2523,72,2
