,Date,UserID,DrivingDistance,Avg_Speed,Numbers_fast_accelerating_8,Numbers_fast_accelerating_9,Numbers_fast_accelerating_10,Numbers_fast_accelerating_11,Numbers_fast_accelerating_12,Numbers_fast_accelerating_13,Numbers_fast_accelerating_14,Numbers_fast_accelerating_15,Numbers_fast_accelerating_16,Numbers_fast_accelerating_17,Numbers_hard_braking_8,Numbers_hard_braking_9,Numbers_hard_braking_10,Numbers_hard_braking_11,Numbers_hard_braking_12,Numbers_hard_braking_13,Numbers_hard_braking_14,Numbers_hard_braking_15,Numbers_hard_braking_16,Numbers_hard_braking_17,Avg_coolant_temperature,Max_coolant_temperature,Min_coolant_temperature,Avg_engine_rpm,Max_engine_rpm,Min_engine_rpm,Max_speed
0,2020-12-09 20:41:48.507,mcu1,20.010926825114502,26.64264264264264,8,20,3,3,8,8,5,2,7,1,16,11,7,12,4,5,3,4,4,3,88.63509587449155,98.0,33.0,942.0501446480232,2585.0,597.0,73.0
1,2021-01-31 21:19:34.857,mcu1,49.47891789039886,26.426512153759194,31,21,9,2,1,0,6,5,2,6,31,17,2,3,6,1,0,3,4,0,90.22081277895231,89.0,63.0,1110.15844495263,3473.0,157.0,77.0
2,2021-04-14 18:22:04.522,mcu1,164.4432398323292,26.51304347826087,18,14,1,2,5,1,6,3,1,6,17,3,0,6,1,2,6,5,2,2,88.39174956114687,90.0,49.0,1054.0077110389611,2789.0,597.0,73.0
3,2020-10-29 08:31:44.310,mcu2,128.11910502880798,30.089254257193193,27,4,0,6,11,7,4,3,1,4,2,9,6,0,5,0,6,6,5,0,93.47083969465649,98.0,82.0,967.1695782601024,2357.0,577.0,54.0
4,2021-03-31 08:16:40.183,mcu1,23.286083835964586,28.17077667665361,1,20,17,12,0,6,5,7,0,1,3,1,5,4,5,0,11,2,0,0,92.18047959612957,99.0,30.0,1212.6461975330549,2636.0,611.0,93.0
5,2020-12-31 11:28:54.061,mcu1,65.35173777308515,22.7171669793621,29,4,0,2,12,0,6,6,5,1,17,6,1,1,7,3,0,0,0,0,87.65218543046358,91.0,88.0,1052.725,3229.0,533.0,44.0
6,2021-01-19 20:35:17.839,mcu1,36.181656415658026,28.03769026334864,0,5,10,4,5,2,6,1,7,0,23,3,14,0,4,7,4,0,4,2,87.98475111643612,95.0,41.0,1018.1000673854448,3043.0,130.0,56.0
7,2021-01-05 18:47:11.235,mcu1,198.63889129712598,29.313223938223945,29,12,17,12,8,7,0,3,4,3,10,2,3,7,9,0,5,1,1,3,88.0187985288108,97.0,53.0,1052.241732283465,2892.0,173.0,48.0
8,2021-03-06 16:56:10.841,mcu2,11.506173163419527,24.32885211995864,4,8,7,16,2,1,6,1,0,4,4,7,6,11,4,7,4,2,0,1,89.27991360691145,98.0,44.0,1083.5902140672783,2897.0,534.0,42.0
9,2020-12-02 07:53:46.685,mcu2,49.162800761609155,28.22469252601703,27,2,3,9,8,0,0,7,3,2,0,1,7,3,12,4,2,1,5,4,86.89556614144375,99.0,61.0,902.5963105303612,2322.0,645.0,77.0
