,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,22:22,33.879661083589895,8.999513020490827,4560.061871616396,3.1266487539830083,55.36979785969084
3,22:24,33.879661083589895,8.999513020490827,1877.0,0.0025978164201073,55.36979785969084
42,22:25,33.879661083589895,8.999513020490827,4728.0,0.051976548642059,55.36979785969084
146,22:26,33.879661083589895,8.999513020490827,4467.0,0.263537258362329,55.36979785969084
248,22:27,33.879661083589895,8.999513020490827,1753.0,0.518078713258994,55.36979785969084
348,22:28,33.879661083589895,8.999513020490827,1662.0,0.616356687558147,55.36979785969084
450,22:29,33.879661083589895,8.999513020490827,7405.0,1.0013529657116,55.36979785969084
550,22:30,33.879661083589895,8.999513020490827,7128.0,1.4118247295355,55.36979785969084
650,22:31,33.879661083589895,8.999513020490827,7211.0,1.84374233713393,55.36979785969084
754,22:32,33.879661083589895,8.999513020490827,7045.0,2.12254484852723,55.36979785969084
854,22:33,33.879661083589895,8.999513020490827,7613.0,2.510797039902,55.36979785969084
958,22:34,33.879661083589895,8.999513020490827,7178.0,2.74218947799121,55.36979785969084
1060,22:35,33.879661083589895,8.999513020490827,1706.0,2.89909707893838,55.36979785969084
1160,22:36,33.879661083589895,8.999513020490827,7931.0,3.08455761077064,55.36979785969084
1260,22:37,33.879661083589895,8.999513020490827,1823.0,3.35373135653244,55.36979785969084
1358,22:38,33.879661083589895,8.999513020490827,6086.0,3.50721577666653,55.36979785969084
1460,22:39,33.879661083589895,8.999513020490827,6640.0,3.84791769422417,55.36979785969084
1564,22:40,33.879661083589895,8.999513020490827,1723.0,3.94847969182045,55.36979785969084
1669,22:41,41.4842234286025,12.65365065,4560.061871616396,3.1266487539830083,31.0
1770,22:42,33.879661083589895,8.999513020490827,1608.0,4.30127590051788,55.36979785969084
1870,22:43,33.879661083589895,8.999513020490827,1667.0,4.39366906623113,55.36979785969084
1972,22:44,33.879661083589895,8.999513020490827,7382.0,4.52550337108662,55.36979785969084
2071,22:45,36.7111512910107,13.6475319154445,4560.061871616396,3.1266487539830083,91.8
2170,22:46,33.879661083589895,8.999513020490827,3849.0,4.97188824781264,55.36979785969084
2276,22:47,33.879661083589895,8.999513020490827,5581.0,5.13995969460182,55.36979785969084
2378,22:48,33.879661083589895,8.999513020490827,1749.0,5.23293721438517,55.36979785969084
2480,22:49,33.879661083589895,8.999513020490827,1834.0,5.32859129718088,55.36979785969084
2582,22:50,33.879661083589895,8.999513020490827,2263.0,5.45550938765587,55.36979785969084
